ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
11530130,2010 Toyota Rukus Build 2 AZE151R,9999,Toyota,Rukus,Build 2,AZE151R,2010,263000,Wagon,Automatic,Unleaded Petrol, Used,2362,Grey,5
12190570,2021 Mercedes-Benz V 250 D Avantgarde MWB 447 MY21,117990,Mercedes-Benz,V,250 D Avantgarde MWB,447 MY21,2021,19,Wagon,Automatic,Diesel, New In Stock,2143,Black,7
12321855,2021 Mercedes-Benz Valente 116 CDI MWB RWD 447 MY21,79990,Mercedes-Benz,Valente,116 CDI MWB RWD,447 MY21,2021,24,Wagon,Automatic,Diesel, New In Stock,2143,Black,8
12346971,2010 Mercedes-Benz E250 CDI Avantgarde 207,34990,Mercedes-Benz,E250,CDI Avantgarde,207,2010,120579,Cabriolet,Automatic,Diesel, Used,2143,Black,4
12363884,2016 Holden Cruze CD JH MY16,15990,Holden,Cruze,CD,JH MY16,2016,72506,Sportswagon,Automatic,Unleaded Petrol, Used,1796,White,5
12366036,2017 Nissan X-Trail ST (4WD) T32 Series 2,26800,Nissan,X-Trail,ST (4WD),T32 Series 2,2017,121870,Wagon,Automatic,Unleaded Petrol, Used,2488,White,5
12370057,2016 Ford Territory TX (rwd) SZ MK2,23990,Ford,Territory,TX (rwd),SZ MK2,2016,154136,Wagon,Automatic,Diesel, Used,2720,White,5
12381448,2011 BMW 325I Exclusive E90 MY11,18990,BMW,325I,Exclusive,E90 MY11,2011,117306,Sedan,Automatic,Premium Unleaded Petrol, Used,2497,Grey,5
12382945,2005 Holden Statesman International WL,15490,Holden,Statesman,International,WL,2005,172151,Sedan,Automatic,Unleaded Petrol, Used,5665,Blue,5
12382946,2003 Holden Commodore Berlina Vyii,15490,Holden,Commodore,Berlina,Vyii,2003,186990,Sedan,Automatic,Unleaded Petrol, Used,5665,Green,5
12382955,2015 Isuzu D-MAX SX (4X2) TF MY15,15490,Isuzu,D-MAX,SX (4X2),TF MY15,2015,231907,Cab Chassis,Manual,Diesel, Used,2999,White,2
12382958,2013 Ford Focus Ambiente LW MK2,12490,Ford,Focus,Ambiente,LW MK2,2013,64109,Hatchback,Manual,Unleaded Petrol, Used,1596,Black,5
12403536,2013 Hyundai Elantra Active MD2,13500,Hyundai,Elantra,Active,MD2,2013,84500,Sedan,Automatic,Unleaded Petrol, Used,1796,WHITE,5
12405893,2020 Hyundai Santa FE Active MPI (2WD) TM.2 MY20,39880,Hyundai,Santa FE,Active MPI (2WD),TM.2 MY20,2020,57683,Wagon,Automatic,Unleaded Petrol, Used,3470,White,7
12410238,2010 Hyundai I30 SX FD MY10,10500,Hyundai,I30,SX,FD MY10,2010,87318,Hatchback,Automatic,Unleaded Petrol, Used,1591,Blue,5
12420343,2015 Volkswagen Caddy Maxi TDI250 2K MY15,27490,Volkswagen,Caddy,Maxi TDI250,2K MY15,2015,137423,Van,Automatic,Diesel, Used,1598,White,2
12428021,2016 Hyundai Tucson Highlander (awd) TLE,27490,Hyundai,Tucson,Highlander (awd),TLE,2016,159044,Wagon,Automatic,Diesel, Used,1995,White,5
12428397,2013 Lexus RX350 Luxury GGL15R MY12,25990,Lexus,RX350,Luxury,GGL15R MY12,2013,124101,Wagon,Automatic,Premium Unleaded Petrol, Used,3456,Silver,5
12428846,2009 Ford Falcon XR6 FG,9000,Ford,Falcon,XR6,FG,2009,298000,Sedan,Automatic,Unleaded Petrol, Used,3984,silver,5
12434519,2021 Mercedes-Benz Valente 116 CDI MWB RWD 447 MY21,79990,Mercedes-Benz,Valente,116 CDI MWB RWD,447 MY21,2021,21,Wagon,Automatic,Diesel, New In Stock,2143,Grey,8
12434520,2021 Mercedes-Benz Vito 119 CDI MWB RWD 447 MY21,73990,Mercedes-Benz,Vito,119 CDI MWB RWD,447 MY21,2021,24,Crew Cab Van,Automatic,Diesel, New In Stock,2143,White,5
12435381,2012 Mazda 2 NEO DE MY12,7000,Mazda,2,NEO,DE MY12,2012,77000,Hatchback,Manual,Unleaded Petrol, Used,1498,Blue,5
12436098,2014 Audi Q3 2.0 TDI Quattro (103KW) 8U MY14,21990,Audi,Q3,2.0 TDI Quattro (103KW),8U MY14,2014,124000,Wagon,Automatic,Diesel, Used,1968,Red,5
12447932,2017 Nissan X-Trail ST (2WD) T32 Series 2,28990,Nissan,X-Trail,ST (2WD),T32 Series 2,2017,108423,Wagon,Automatic,Unleaded Petrol, Used,2488,Black,5
12459013,2019 Holden Commodore LT ZB MY19.5,30990,Holden,Commodore,LT,ZB MY19.5,2019,50764,Liftback,Automatic,Premium Unleaded Petrol, Used,1998,Grey,5
12472693,2019 Holden Commodore LT ZB MY19.5,32990,Holden,Commodore,LT,ZB MY19.5,2019,32164,Liftback,Automatic,Premium Unleaded Petrol, Used,1998,White,5
12477167,2016 Subaru Forester 2.0D-L MY16,24990,Subaru,Forester,2.0D-L,MY16,2016,114873,Wagon,Automatic,Diesel, Used,1998,White,5
12481004,2004 Nissan Patrol ST (4X4) GU IV,38980,Nissan,Patrol,ST (4X4),GU IV,2004,282190,Wagon,Manual,Diesel, Used,4169,Gold,7
12484400,2017 Toyota RAV4 GX (2WD) ZSA42R MY17,24990,Toyota,RAV4,GX (2WD),ZSA42R MY17,2017,119716,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12493596,2004 Toyota Landcruiser Prado GXL (4X4) KZJ120R,18990,Toyota,Landcruiser Prado,GXL (4X4),KZJ120R,2004,383514,Wagon,Manual,Diesel, Used,2982,White,8
12501281,2011 Mercedes-Benz Sprinter 416CDI LWB 906 MY10,36990,Mercedes-Benz,Sprinter,416CDI LWB,906 MY10,2011,223170,Van,Automatic,Diesel, Used,2143,Green,2
12519036,2015 Mitsubishi Triton GLX (4X4) MN MY15,20990,Mitsubishi,Triton,GLX (4X4),MN MY15,2015,237301,Double Cab Utility,Manual,Diesel, Used,2477,White,5
